Position,MPID,Name,Constituency,Region,Party,Gender,Ethnicity,Religion,DoB,Previous_Occupation,Term,Parliament,Start_Date,End_Date,image
"Minister for Social Welfare, Relief and Resettlement",UPMP-02-0019,Dr. U Win Myat Aye,Bago-4,Bago,NLD,Male,Bamar,Buddhist,06/01/1954,Rector (retired) - Child Specialist,Second,Amyotha Hluttaw,02/03/2016,03/30/2016,http://goo.gl/sjJVDu
Vice-President-2,UPMP-02-0030,U Henery Van Thio,Chin-3,Chin,NLD,Male,Chin,Buddhist,08/09/1958,Director of the Factory (retired),Second,Amyotha Hluttaw,02/03/2016,03/30/2016,http://goo.gl/zvVZFl
"Minister for Agriculture, Livestock Breeding and Irrigation",UPMP-02-0165,Dr. U Aung Thu,Yangon-6,Yangon,NLD,Male,Bamar,Buddhist,07/08/1955,Profficer (retired),Second,Amyotha Hluttaw,02/03/2016,03/30/2016,http://goo.gl/0pzpNk
Minister for Transportation and Information and Communications Technology,LWMP-02-0201,U Thant Sin Maung,Monywa,Sagaing,NLD,Male,Bamar,Buddhist,11/30/1983,ဒု-ဥက္ကဋ္ဌ၊မြန်မာနိုင်ငံမြေငလျင်ကော်မတီ,Second,Pyithu Hluttaw,02/01/2016,03/30/2016,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150826_0007.jpg
Member of Constitutional Tribunal of the union,LWMP-02-0151,Daw Khin Htay Kywe,Chaungzon,Mon,NLD,Female,Bamar,Buddhist,07/02/1950,Lawyer,Second,Pyithu Hluttaw,02/01/2016,03/30/2016,https://storage.googleapis.com/staticassets/candidate-photos/Scan__C_0617.jpg
Minister,LWMP-02-0175,U Thein Swe,Ann,Rakhine,USDP,Male,Bamar,Buddhist,06/26/1948,Shop Keeper,Second,Pyithu Hluttaw,02/01/2016,03/30/2016,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150901_0034.jpg
State Counsellor,LWMP-02-0292,Daw Aung San Su Kyi,Kawhmu,Yangon,NLD,Female,Bamar,Buddhist,10/21/1972,Politic,Second,Pyithu Hluttaw,02/01/2016,03/30/2016,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150813_0046.jpg
Chairman of Nay Pyi Taw Council,LWMP-02-0305,Dr. U Myo Aung,Dagon Myothit (East),Yangon,NLD,Male,Bamar,Buddhist,10/01/1953,Doctor,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan__C_0689.jpg
Minister for Finance and Planning,LWMP-02-0302,U Kyaw Win,Dagon Myothit (Seikkan),Yangon,NLD,Male,Bamar,Buddhist,05/08/1952,စစ်မှုထမ်း(ငြိမ်း),Second,Pyithu Hluttaw,02/01/2016,03/30/2016,https://storage.googleapis.com/staticassets/candidate-photos/Scan__C_0671.jpg
Minister for Commerce,LWMP-02-0324,Dr. U Than Myint,Hlaingtharya,Yangon,NLD,Male,Bamar,Buddhist,02/13/1968,သွားဘက်ဆိုင်ရာအထူးကုဆရာဝန်,Second,Pyithu Hluttaw,02/01/2016,03/30/2016,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150821_021.jpg
